anyo,fecha_exportacion,evaluacion,alumno,ensenanza,curso,contenido,bloque_contenido,nota_numerica,tipo_nota,observacion,capacidades_inf,medidas_inf,borrar,sobreescribir
2021,19/10/2023 16:17:54,01,10634546,5,2712312846,028503, ,9,146988217, , , ,N,N
2021,19/10/2023 16:17:54,01,10634546,5,2712312846,028001, ,8,146988244, , , ,N,N
2021,19/10/2023 16:17:54,01,10634546,5,2712312846,028505, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10634546,5,2712312846,028504, ,8,146988244, , , ,N,N
2021,19/10/2023 16:17:54,01,10641372,5,2712312846,028502, ,4,146988242, , , ,N,N
2021,19/10/2023 16:17:54,01,10641372,5,2712312846,028100, ,6,146988243, , , ,N,N
2021,19/10/2023 16:17:54,01,10641372,5,2712312846,028501, ,4,146988242, , , ,N,N
2021,19/10/2023 16:17:54,01,10641372,5,2712312846,028503, ,4,146988242, , , ,N,N
2021,19/10/2023 16:17:54,01,10641372,5,2712312846,028001, ,5,146988215, , , ,N,N
2021,19/10/2023 16:17:54,01,10641372,5,2712312846,028505, ,6,146988243, , , ,N,N
2021,19/10/2023 16:17:54,01,10641372,5,2712312846,028504, ,2,146988240, , , ,N,N
2021,19/10/2023 16:17:54,01,10648273,5,2712312846,028502, ,9,146988217, , , ,N,N
2021,19/10/2023 16:17:54,01,10648273,5,2712312846,028100, ,8,146988244, , , ,N,N
2021,19/10/2023 16:17:54,01,10648273,5,2712312846,028501, ,3,146988241, , , ,N,N
2021,19/10/2023 16:17:54,01,10648273,5,2712312846,028503, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10648273,5,2712312846,028001, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10648273,5,2712312846,028505, ,6,146988243, , , ,N,N
2021,19/10/2023 16:17:54,01,10648273,5,2712312846,028504, ,2,146988240, , , ,N,N
2021,19/10/2023 16:17:54,01,10654244,5,2712312846,028502, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10687004,5,2712312846,028502, ,8,146988244, , , ,N,N
2021,19/10/2023 16:17:54,01,10687004,5,2712312846,028100, ,8,146988244, , , ,N,N
2021,19/10/2023 16:17:54,01,10687004,5,2712312846,028501, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10687004,5,2712312846,028503, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10687004,5,2712312846,028001, ,5,146988215, , , ,N,N
2021,19/10/2023 16:17:54,01,10687004,5,2712312846,028505, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10687004,5,2712312846,028504, ,4,146988242, , , ,N,N
2021,19/10/2023 16:17:54,01,10687170,5,2712312846,028502, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10687170,5,2712312846,028100, ,6,146988243, , , ,N,N
2021,19/10/2023 16:17:54,01,10687170,5,2712312846,028501, ,6,146988243, , , ,N,N
2021,19/10/2023 16:17:54,01,10687170,5,2712312846,028503, ,6,146988243, , , ,N,N
2021,19/10/2023 16:17:54,01,10687170,5,2712312846,028001, ,5,146988215, , , ,N,N
2021,19/10/2023 16:17:54,01,10687170,5,2712312846,028505, ,6,146988243, , , ,N,N
2021,19/10/2023 16:17:54,01,10687170,5,2712312846,028504, ,4,146988242, , , ,N,N
2021,19/10/2023 16:17:54,01,10691205,5,2712312846,028502, ,4,146988242, , , ,N,N
2021,19/10/2023 16:17:54,01,10691205,5,2712312846,028100, ,5,146988215, , , ,N,N
2021,19/10/2023 16:17:54,01,10691205,5,2712312846,028501, ,2,146988240, , , ,N,N
2021,19/10/2023 16:17:54,01,10691205,5,2712312846,028503, ,5,146988215, , , ,N,N
2021,19/10/2023 16:17:54,01,10691205,5,2712312846,028001, ,5,146988215, , , ,N,N
2021,19/10/2023 16:17:54,01,10691205,5,2712312846,028505, ,4,146988242, , , ,N,N
2021,19/10/2023 16:17:54,01,10691205,5,2712312846,028504, ,1,146988239, , , ,N,N
2021,19/10/2023 16:17:54,01,10691218,5,2712312846,028502, ,4,146988242, , , ,N,N
2021,19/10/2023 16:17:54,01,10691218,5,2712312846,028100, ,4,146988242, ,No hay datos guardados,No hay datos guardados,N,N
2021,19/10/2023 16:17:54,01,10691218,5,2712312846,028501, ,3,146988241, , , ,N,N
2021,19/10/2023 16:17:54,01,10691218,5,2712312846,028503, ,3,146988241, , , ,N,N
2021,19/10/2023 16:17:54,01,10691218,5,2712312846,028001, ,4,146988242, , , ,N,N
2021,19/10/2023 16:17:54,01,10691218,5,2712312846,028505, ,3,146988241, , , ,N,N
2021,19/10/2023 16:17:54,01,10691218,5,2712312846,028504, ,2,146988240, , , ,N,N
2021,19/10/2023 16:17:54,01,10694824,5,2712312846,028502, ,10,146988216, , , ,N,N
2021,19/10/2023 16:17:54,01,10694824,5,2712312846,028100, ,9,146988217, , , ,N,N
2021,19/10/2023 16:17:54,01,10694824,5,2712312846,028501, ,8,146988244, , , ,N,N
2021,19/10/2023 16:17:54,01,10694824,5,2712312846,028503, ,9,146988217, , , ,N,N
2021,19/10/2023 16:17:54,01,10694824,5,2712312846,028001, ,8,146988244, , , ,N,N
2021,19/10/2023 16:17:54,01,10694824,5,2712312846,028505, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10694824,5,2712312846,028504, ,8,146988244, , , ,N,N
